Feature,Coefficient
Intercept,8849.259254513032
Mach,-13748.828891261199
AoA,1548.7728652831763
Mach^2,6909.535398468901
Mach AoA,-133.3756756679218
AoA^2,-250.54711199351334
Mach^3,-1076.6634798521789
Mach^2 AoA,168.39753697558797
Mach AoA^2,-25.52826624375449
AoA^3,22.36031489745952
Mach^4,53.318989298676875
Mach^3 AoA,-8.505740926234255
Mach^2 AoA^2,5.478909300362643
Mach AoA^3,-0.026359338312115697
AoA^4,-0.56319264574397
