Mach,AOA,Lift,Drag
10,13,770.76923,241.646359
10,14,840.595632,279.715156
10,15,924.944194,325.768265
11,0,87.20233569,10.70811382
11,0.25,97.07399496,11.7017726
11,0.5,107.1197058,12.78701234
11,0.75,117.3421698,13.98431247
11,1,127.7456853,15.29832336
11,1.25,137.8385869,16.71080613
11,1.5,148.5935536,18.25903046
11,1.75,159.5558427,19.93183212
11,2,169.8096199,21.64115587
12,0,97.7880064,11.50882284
12,0.25,108.9450365,12.63361591
12,0.5,120.3314068,13.86825419
12,0.75,131.9332442,15.23287538
12,1,143.7621867,16.72995265
12,1.25,155.2297151,18.3419221
12,1.5,167.684445,20.1289253
12,1.75,180.0171399,22.02438571
12,2,191.732633,23.97619332
13,0,108.906849,12.35102439
13,0.25,121.424454,13.61531069
13,0.5,134.2318029,15.01038173
13,0.75,147.3029788,16.55202655
13,1,160.6487787,18.24555559
13,1.25,173.5687821,20.06918325
13,1.5,187.68983,22.0974014
13,1.75,201.6429541,24.24534048
13,2,214.9012896,26.45548877
14,0,120.564792,13.23418043
14,0.25,134.4433832,14.65166496
14,0.5,148.7319568,16.21134328
14,0.75,163.3715965,17.94215928
14,1,178.3295164,19.84523688
14,1.25,192.6030616,21.94042114
14,1.5,208.289601,24.2029299
14,1.75,224.1086084,26.63475961
14,2,239.3655452,29.08323089
