Mach,AOA,Lift,Drag
2,0,11.1739408,5.858638166
2,1,13.16832289,6.28539326
2,2,15.32473701,6.836329075
2,3,17.44993965,7.443037175
2,4,19.63758137,8.145636207
2,5,21.82814419,8.945527845
2,6,24.13885143,9.835640881
2,7,26.47512649,10.83782576
2,8,28.72429344,11.91131913
2,9,31.14670525,13.1147636
2,10,33.50474797,14.41207271
2,11,35.85407532,15.80898321
2,12,38.19175274,17.3059798
3,0,21.24238939,7.380210288
3,1,25.05353907,8.247684607
3,2,29.09887297,9.326946051
3,3,33.11078616,10.53784651
3,4,37.24148088,11.92921643
3,5,41.33213888,13.49225681
3,6,45.63811282,15.24563368
3,7,49.88156101,17.17283199
3,8,54.24280236,19.30895459
3,9,58.70709626,21.64707614
3,10,63.15061128,24.1797703
3,11,67.61124882,26.91261209
3,12,72.08352373,29.84807815
4,0,32.47537559,9.168788829
4,1,38.28947997,10.5676917
4,2,44.43966739,12.24642878
4,3,50.78354317,14.18187136
4,4,57.54903785,16.48493347
4,5,64.04554976,18.99009216
4,6,70.90762551,21.79976223
4,7,77.96522537,24.97397774
4,8,85.14364281,28.47447617
4,9,92.43817671,32.3114208
4,10,99.82401819,36.48907575
4,11,107.2990994,41.0183387
4,12,114.8364323,45.90216444
5,0,44.59347395,11.05430921
5,1,53.04296194,13.06553729
5,2,61.98214795,15.48092334
5,3,71.13197329,18.2780376
5,4,81.18284764,21.65147137
5,5,91.00011813,25.35562754
5,6,101.0633615,29.48819047
5,7,111.688452,34.20498945
5,8,122.5705524,39.43527655
5,9,133.6985206,45.19755164
5,10,145.019636,51.49814036
5,11,156.5155612,58.35170436
5,12,168.1614307,65.76915437
5,13,179.8957811,73.74716222
5,14,191.6788997,82.28538323
5,15,203.4862423,91.38859455
6,0,56.9821266,12.91829482
6,1,68.19445462,15.5645349
6,2,80.06704366,18.74963251
6,3,92.69745135,22.53821269
6,4,106.4413568,27.08622417
6,5,120.0025065,32.1111918
6,6,134.5516789,37.90677239
6,7,149.7749687,44.49247675
6,8,165.5105845,51.85219872
6,9,181.6504038,59.99521959
6,10,198.0787145,68.92373853
6,11,214.699336,78.64010778
6,12,231.4461412,89.14680078
6,13,248.2754717,100.4477901
6,14,265.1655352,112.5510537
6,15,282.1521551,125.4877341
7,0,69.79866877,14.85518829
7,1,84.00396071,18.19041991
7,2,99.0490639,22.21308677
7,3,115.4071151,27.07133436
7,4,132.9441766,32.85135687
7,5,150.5186872,39.30776672
7,6,169.8047436,46.87373668
7,7,189.8785188,55.44838854
7,8,210.8860939,65.1079491
7,9,232.7398753,75.89457089
7,10,255.4117315,87.86618488
7,11,278.7616112,101.0394833
7,12,302.4197369,115.3472988
7,13,326.889205,131.0341422
7,14,351.0419988,147.7393984
7,15,374.506204,165.3263615
8,0,83.72248278,16.96301826
8,1,101.2332266,21.06285874
8,2,119.8283999,26.02181532
8,3,140.2457067,32.05635129
8,4,162.2059577,39.25374402
8,5,184.2821803,47.31814713
8,6,208.8172395,56.85989936
8,7,234.3554727,67.67818349
8,8,261.1627914,79.90171189
8,9,289.1234638,93.58657737
8,10,318.1048962,108.7712868
8,11,348.1273315,125.5438836
8,12,379.1346493,143.9692576
8,13,411.0525221,164.107179
8,14,443.7549232,185.9929403
8,15,477.1704268,209.6871094
9,0,98.87220495,19.25779644
9,1,120.0298275,24.20406416
9,2,142.6428336,30.21770351
9,3,167.6035912,37.56904196
9,4,194.5024699,46.34902877
9,5,221.5525323,56.19629992
9,6,252.0180417,67.96073066
9,7,283.5486947,81.25675157
9,8,316.6833445,96.29934955
9,9,351.4447126,113.2051846
9,10,387.7587943,132.0647913
9,11,425.5629814,152.9735705
9,12,464.3552573,175.8629196
9,13,504.5044378,200.9711443
9,14,544.9134663,227.967779
9,15,586.9714062,257.513365
10,0,115.3212292,21.75033459
10,1,140.5070104,27.63288048
10,2,167.5172207,34.80516315
10,3,197.5592879,43.62469857
10,4,229.884786,54.14726591
10,5,262.4617325,65.97256186
10,6,299.4808396,80.19510779
10,7,337.8309329,96.28516465
10,8,378.1332888,114.494504
10,9,420.3589539,134.9463533
10,10,464.2255252,157.6866651
10,11,510.3677464,183.0653715
10,12,558.4261529,211.120166
10,13,607.712733,241.7365675
10,14,658.0402434,274.9573488
10,15,709.68693,311.0239304
11,0,133.1125333,24.44734659
11,1,162.7101222,31.35700368
11,2,194.5383383,39.80025941
11,3,230.1392053,50.22842473
11,4,268.507789,62.68345748
11,5,307.1473903,76.68029289
11,6,351.4249971,93.61866215
11,7,397.196239,112.757064
11,8,445.1114054,134.3652865
11,9,495.7297084,158.764717
11,10,548.5921609,185.9928803
11,11,603.8741844,216.2806441
11,12,661.6381757,249.8378831
11,13,721.5190285,286.7181023
11,14,782.7333105,326.7837327
11,15,845.0307208,370.0971821
