Feature,Coefficient
Intercept,1667.7321654911757
Mach,24.650678032102686
AoA,-1087.149707195198
Mach^2,17.76231493522844
Mach AoA,318.63921283317666
AoA^2,250.49822069515344
Mach^3,-1.8819401271305278
Mach^2 AoA,-30.132931745580354
Mach AoA^2,-18.96796828880912
AoA^3,-21.946694119281307
Mach^4,0.009799864791557152
Mach^3 AoA,1.1038075532971239
Mach^2 AoA^2,3.5773864922403273
Mach AoA^3,0.9715510841485933
AoA^4,0.6525844445533334
