Mach,AOA,Lift,Drag
6,9,232.7746971,56.59918764
6,10,258.9563527,67.41397815
6,11,285.7230777,79.48845643
6,12,313.8237195,93.00055509
6,13,341.8949217,107.6403972
6,14,369.564429,123.2956616
6,15,401.8447069,141.7527542
7,0,50.1295815,7.811153488
7,1,72.08349734,10.26204771
7,2,94.47666974,13.58400651
7,3,118.5370064,17.9625351
7,4,143.769658,23.42536829
7,5,169.5464515,29.93654358
7,6,197.9774399,37.88624728
7,7,226.9719725,47.05006592
7,8,256.9627413,57.58170759
7,9,288.8327541,69.65236315
7,10,322.6054583,83.44584818
7,11,357.7035885,99.01027885
7,12,394.3039051,116.3800549
7,13,431.438801,135.399757
7,14,467.6677806,155.6203409
7,15,510.2035674,179.5990534
8,0,58.627125,8.453302941
8,0.25,65.06222298,9.096029822
8,0.5,71.57175843,9.789936667
8,0.75,78.16367789,10.55289721
8,1,84.68200082,11.37085952
8,1.25,91.28585014,12.26843638
8,1.5,98.11695644,13.24344808
8,1.75,105.0428753,14.29305008
8,2,111.4874304,15.35491105
8,3,140.503251,20.63417949
8,4,171.1711322,27.25669453
8,5,202.680362,35.19125634
8,6,237.7281535,44.928011
8,7,273.7272161,56.21419468
8,8,311.1994935,69.25172255
8,9,351.3054839,84.26799671
8,10,393.7988908,101.4491822
8,11,438.4889893,120.9944258
8,12,484.8998964,142.7743975
8,13,532.5685057,166.8237325
8,14,578.4330487,192.1861227
8,15,633.2293895,222.6307546
9,0,67.62818562,9.133567
9,0.25,75.13403207,9.884403952
9,0.5,82.74289427,10.69845957
9,0.75,90.46044101,11.59470934
9,1,98.2912436,12.57504035
9,1.25,105.8593989,13.6161915
9,1.5,113.8990584,14.76624891
9,1.75,122.0643968,16.00586841
9,2,129.7078791,17.26393754
9,3,164.1555859,23.53144899
9,4,200.8607866,31.43764501
9,5,238.6939048,40.94005546
9,6,281.1810484,52.6691491
9,7,325.0662422,66.3256847
9,8,370.9967833,82.1718312
9,9,420.2728306,100.4566286
9,10,472.8682488,121.4997766
9,11,528.2025766,145.4620421
9,12,585.9131781,172.257412
9,13,645.682954,202.0180565
9,14,702.7869182,233.2801982
9,15,771.7299552,271.1120471
10,0,77.15310615,9.853536155
10,0.25,85.80394849,10.72077686
10,0.5,94.59138523,11.66446228
10,0.75,103.5195754,12.70484931
10,1,112.5919568,13.84408881
10,1.25,121.3803038,15.05904661
10,1.5,130.7271727,16.39911374
10,1.75,140.2378845,17.84544623
10,2,149.1463253,19.31201709
10,3,189.5065722,26.65610177
10,4,232.873795,35.97277845
10,5,277.6731222,47.19488339
10,6,328.3022758,61.10153749
10,7,381.0412962,77.39169917
10,8,436.6403081,96.39769538
10,9,496.1807862,118.3204948
10,10,560.1239712,143.6697406
10,11,627.2833679,172.5205172
10,12,697.6012635,204.8899627
10,13,770.915467,241.012992
10,14,840.7950457,278.9153212
10,15,925.1884795,324.8564675
11,0,87.20233569,10.61325698
11,0.25,97.07441525,11.60544144
11,0.5,107.1205665,12.68838902
11,0.75,117.3434869,13.88372601
11,1,127.7475032,15.1941834
11,1.25,137.8410879,16.59617653
11,1.5,148.5966327,18.14142502
11,1.75,159.5595293,19.81118837
11,2,169.8145167,21.50093725
12,0,97.7880064,11.41365867
12,0.25,108.9454515,12.53849127
12,0.5,120.3322594,13.77055338
12,0.75,131.9345668,15.13187841
12,1,143.7639997,16.62608895
12,1.25,155.2322277,18.22676104
12,1.5,167.6875425,20.0105952
12,1.75,180.0208687,21.9023618
12,2,191.7376112,23.83364523
13,0,108.906849,12.25450892
13,0.25,121.4248672,13.52059283
13,0.5,134.2326646,14.91164612
13,0.75,147.3043112,16.45027731
13,1,160.6506073,18.14080335
13,1.25,173.5713237,19.95269099
13,1.5,187.6929696,21.97749217
13,1.75,201.6467311,24.12174054
13,2,214.9063375,26.31094593
14,0,120.564792,13.13622447
14,0.25,134.4438067,14.55458871
14,0.5,148.7328275,16.11158123
14,0.75,163.3729519,17.83865734
14,1,178.3313866,19.7381025
14,1.25,192.6056461,21.82196198
14,1.5,208.2928157,24.08011854
14,1.75,224.1124854,26.5078891
14,2,239.3707379,28.93454206
