Mach,AOA,Lift,Drag
1.33,0,7.014635029,4.523955744
1.33,1,9.691387291,4.815964532
1.33,2,12.42843187,5.195463935
1.33,3,15.27258634,5.687609923
1.33,4,18.15836937,6.289799975
1.33,5,21.05279776,6.986988685
1.33,6,24.07612281,7.823966944
1.33,7,27.05198315,8.761852342
1.33,8,29.99665029,9.807444057
1.33,9,32.85702675,10.93760507
1.33,10,35.963306,12.23585667
1.33,11,38.74648443,13.59646116
1.33,12,41.52851105,15.06225459
1.33,13,44.15143646,16.58221837
1.33,14,46.89307608,18.26316591
1.33,15,49.28146899,19.94778981
2,0,12.50553093,4.919712774
2,1,17.36259029,5.453542411
2,2,22.24318444,6.152290335
2,3,27.25258041,7.045115407
2,4,32.25404195,8.125871917
2,5,37.17192567,9.368029033
2,6,42.22817876,10.8320882
2,7,47.24394618,12.47739527
2,8,52.14796007,14.29627574
2,9,56.88894359,16.2564945
2,10,61.92579766,18.47013561
2,11,66.73835085,20.86313218
2,12,71.44600928,23.40896917
2,13,75.94913729,26.07508568
2,14,80.40750125,28.93858658
2,15,85.21011381,32.11714389
3,0,20.45091264,5.564566285
3,1,28.58962752,6.479858765
3,2,36.65842067,7.674828588
3,3,45.00645796,9.206239946
3,4,53.30751104,11.04615082
3,5,61.61475387,13.19128688
3,6,70.3413819,15.73362943
3,7,79.00465173,18.59850895
3,8,87.44091966,21.75318149
3,9,95.85799174,25.21661999
3,10,104.7249459,29.12020178
3,11,113.2227935,33.32634776
3,12,121.9513573,37.92344939
3,13,130.3928383,42.78286674
3,14,139.0626045,48.09643867
3,15,148.479963,54.04386558
4,0,27.45314941,6.097585609
4,1,38.79112175,7.36326492
4,2,50.16588426,9.040780045
4,3,62.07933905,11.21174512
4,4,74.1428525,13.85609932
4,5,86.30525228,16.9623861
4,6,99.30428042,20.68258707
4,7,112.2406691,24.88698351
4,8,125.2095216,29.60779598
4,9,138.5857686,34.90634994
4,10,152.5712025,40.88162902
4,11,166.6815752,47.49291352
4,12,181.0467964,54.73563652
4,13,195.2159651,62.50743169
4,14,209.2246181,70.80725139
4,15,225.1328913,80.40152753
5,0,34.55271121,6.634039361
5,1,49.16574979,8.260885681
5,2,63.90204475,10.43586349
5,3,79.44541296,13.2657267
5,4,95.40677837,16.74698068
5,5,111.5575661,20.85471389
5,6,129.01006,25.80596861
5,7,146.4289492,31.42171113
5,8,164.2440161,37.81614033
5,9,182.9042742,45.0634147
5,10,202.4276592,53.25988463
5,11,222.4317277,62.40890151
5,12,243.2787918,72.59508866
5,13,263.9043446,83.55465311
5,14,283.9005297,95.15961142
5,15,307.6643612,108.9486959
6,0,42.10817738,7.20497042
6,1,60.2652588,9.227190658
6,2,78.65054368,11.94829868
6,3,98.22323368,15.51130266
6,4,118.5492075,19.92727145
6,5,139.1998916,25.16222488
6,6,161.7458136,31.51348808
6,7,184.5904248,38.79515457
6,8,208.0436645,47.11702082
